celebrity_name             , ballroom_partner                        , celebrity_industry      , celebrity_homestate, celebrity_homecountry/region, celebrity_age_during_season, season, results           , placement, week, judge_total       , active, n_active, elim_week_official, elim_after_week
Evander Holyfield          , Edyta Sliwinska                         , Athlete                 , Alabama            , United States               ,                          42,      1, Eliminated Week 3 ,         5,    1, 18.0              , True  ,        6,                3.0, False
Joey McIntyre              , Ashly DelGrosso                         , Singer/Rapper           , Massachusetts      , United States               ,                          32,      1, 3rd Place         ,         3,    1, 20.0              , True  ,        6,                   , False
John O'Hurley              , Charlotte Jorgensen                     , Actor/Actress           , Maine              , United States               ,                          50,      1, 2nd Place         ,         2,    1, 20.0              , True  ,        6,                   , False
Kelly Monaco               , Alec Mazo                               , Actor/Actress           , Pennsylvania       , United States               ,                          29,      1, 1st Place         ,         1,    1, 13.0              , True  ,        6,                   , False
Rachel Hunter              , Jonathan Roberts                        , Model                   ,                    , New Zealand                 ,                          35,      1, Eliminated Week 4 ,         4,    1, 20.0              , True  ,        6,                4.0, False
Trista Sutter              , Louis van Amstel                        , TV Personality          , Indiana            , United States               ,                          32,      1, Eliminated Week 2 ,         6,    1, 18.0              , True  ,        6,                2.0, False
Evander Holyfield          , Edyta Sliwinska                         , Athlete                 , Alabama            , United States               ,                          42,      1, Eliminated Week 3 ,         5,    2, 14.0              , True  ,        6,                3.0, False
Joey McIntyre              , Ashly DelGrosso                         , Singer/Rapper           , Massachusetts      , United States               ,                          32,      1, 3rd Place         ,         3,    2, 21.0              , True  ,        6,                   , False
John O'Hurley              , Charlotte Jorgensen                     , Actor/Actress           , Maine              , United States               ,                          50,      1, 2nd Place         ,         2,    2, 26.0              , True  ,        6,                   , False
Kelly Monaco               , Alec Mazo                               , Actor/Actress           , Pennsylvania       , United States               ,                          29,      1, 1st Place         ,         1,    2, 17.0              , True  ,        6,                   , False
Rachel Hunter              , Jonathan Roberts                        , Model                   ,                    , New Zealand                 ,                          35,      1, Eliminated Week 4 ,         4,    2, 24.0              , True  ,        6,                4.0, False
Trista Sutter              , Louis van Amstel                        , TV Personality          , Indiana            , United States               ,                          32,      1, Eliminated Week 2 ,         6,    2, 19.0              , True  ,        6,                2.0, True
Evander Holyfield          , Edyta Sliwinska                         , Athlete                 , Alabama            , United States               ,                          42,      1, Eliminated Week 3 ,         5,    3, 13.0              , True  ,        5,                3.0, True
Joey McIntyre              , Ashly DelGrosso                         , Singer/Rapper           , Massachusetts      , United States               ,                          32,      1, 3rd Place         ,         3,    3, 22.0              , True  ,        5,                   , False
John O'Hurley              , Charlotte Jorgensen                     , Actor/Actress           , Maine              , United States               ,                          50,      1, 2nd Place         ,         2,    3, 24.0              , True  ,        5,                   , False
Kelly Monaco               , Alec Mazo                               , Actor/Actress           , Pennsylvania       , United States               ,                          29,      1, 1st Place         ,         1,    3, 21.0              , True  ,        5,                   , False
Rachel Hunter              , Jonathan Roberts                        , Model                   ,                    , New Zealand                 ,                          35,      1, Eliminated Week 4 ,         4,    3, 26.0              , True  ,        5,                4.0, False
Trista Sutter              , Louis van Amstel                        , TV Personality          , Indiana            , United States               ,                          32,      1, Eliminated Week 2 ,         6,    3,  0.0              , False ,        5,                2.0, False
Evander Holyfield          , Edyta Sliwinska                         , Athlete                 , Alabama            , United States               ,                          42,      1, Eliminated Week 3 ,         5,    4,  0.0              , False ,        4,                3.0, False
Joey McIntyre              , Ashly DelGrosso                         , Singer/Rapper           , Massachusetts      , United States               ,                          32,      1, 3rd Place         ,         3,    4, 20.0              , True  ,        4,                   , False
