param,coef,se,p,y
Intercept,0.26000751420858376,0.015308570679059007,1.0706899873564579e-64,judge_percent
C(industry)[T.Athlete],-0.001721334991392965,0.0022679533613742704,0.4478635319545946,judge_percent
C(industry)[T.Comedian],-0.008597504400420675,0.005285001110158194,0.10378502498549662,judge_percent
C(industry)[T.Model],-0.0037082418168713016,0.003992724490925109,0.3530187988675926,judge_percent
C(industry)[T.Other],-0.003108036973474417,0.002817484128040829,0.269972917161048,judge_percent
C(industry)[T.Racing Driver],0.00046870025946163616,0.008390670460464924,0.9554535825613263,judge_percent
C(industry)[T.Singer/Rapper],0.0016118944732459535,0.0025114525665245893,0.5209916169765733,judge_percent
C(industry)[T.Social Media Personality],-0.002839254272771763,0.003784313848490515,0.45309256500133666,judge_percent
C(industry)[T.TV Personality],-0.006578704197329439,0.0021503775967197936,0.002218362617860268,judge_percent
C(home_region)[T.Canada],0.010373752293372531,0.005515587366930379,0.05999825249880353,judge_percent
C(home_region)[T.England],0.006578967119337346,0.0065041768047663,0.3117777488261806,judge_percent
C(home_region)[T.Other],0.009531801552826801,0.005050817454417187,0.05913612287503721,judge_percent
C(home_region)[T.United States],0.007600684875714602,0.00450353084437762,0.09146559630538217,judge_percent
C(dancer)[T.Allison Holker],-0.003461560805395774,0.007851386825361278,0.6592960575056338,judge_percent
C(dancer)[T.Anna Trebunskaya],-0.002980795646652204,0.0059647021942222985,0.6172587097116036,judge_percent
C(dancer)[T.Artem Chigvintsev],0.002835051828527366,0.004858827695859338,0.5595670249927149,judge_percent
C(dancer)[T.Brandon Armstrong],0.006763840025156481,0.005148512153546527,0.1889315136818418,judge_percent
C(dancer)[T.Britt Stewart],0.00469772687101414,0.004833771088728899,0.33112245582166766,judge_percent
C(dancer)[T.Chelsie Hightower],-0.013091742614852972,0.004325032809432473,0.0024701884081356255,judge_percent
C(dancer)[T.Cheryl Burke],0.0014816302855189922,0.0050862803114393555,0.7708223639463095,judge_percent
C(dancer)[T.Daniella Karagach],0.0011804535253138796,0.004886578338790225,0.809112926801834,judge_percent
C(dancer)[T.Derek Hough],0.0074510498539378574,0.005031384449672688,0.13862937623398397,judge_percent
C(dancer)[T.Edyta Sliwinska],-0.007054459772909418,0.00726742472261555,0.3316997073492497,judge_percent
C(dancer)[T.Emma Slater],-0.0037980532141583664,0.004963637835553596,0.44416714838716775,judge_percent
C(dancer)[T.Gleb Savchenko],0.0002989481062594025,0.00566449931005649,0.9579105963735742,judge_percent
C(dancer)[T.Jenna Johnson],0.0023246325439057864,0.00720881537538818,0.7470960467758977,judge_percent
C(dancer)[T.Jonathan Roberts],0.003030014189136886,0.007270197456717663,0.6768452395336675,judge_percent
C(dancer)[T.Julianne Hough],-0.000898267890173042,0.008433205402624374,0.9151732828746735,judge_percent
C(dancer)[T.Karina Smirnoff],-0.004532336258907176,0.0062993730353249466,0.4718390269040377,judge_percent
C(dancer)[T.Keo Motsepe],-0.005140877457289061,0.005902263571117643,0.3837536085035904,judge_percent
C(dancer)[T.Kym Johnson],0.0010191515410430212,0.006195126141007331,0.8693307755393509,judge_percent
C(dancer)[T.Lacey Schwimmer],-0.005279693475867907,0.00660583870769492,0.4241474930971747,judge_percent
C(dancer)[T.Lindsay Arnold],-0.007198794499613476,0.005511908662699293,0.19153764052542088,judge_percent
C(dancer)[T.Louis van Amstel],-0.004357566784565411,0.0062774142834835355,0.48757818997157953,judge_percent
C(dancer)[T.Maksim Chmerkoskiy],0.0004534166356392609,0.005135408510707251,0.9296444196211012,judge_percent
C(dancer)[T.Mark Ballas],0.0016777120723879568,0.0046696371089599495,0.719384857368152,judge_percent
C(dancer)[T.Other],-0.0010681289958238685,0.005435575057428967,0.8442132897661928,judge_percent
C(dancer)[T.Pasha Pashkov],0.00845971296720707,0.006501530356800791,0.19319412831254534,judge_percent
C(dancer)[T.Peta Murgatroyd],-0.006182198599457956,0.005058523933101091,0.22165662029032518,judge_percent
C(dancer)[T.Rylee Arnold],-0.011978491588647146,0.0048556684293801595,0.013628503155994743,judge_percent
C(dancer)[T.Sasha Farber],-0.0002519086422093474,0.00489042482924081,0.9589186677075111,judge_percent
C(dancer)[T.Sharna Burgess],-0.0041419991406540305,0.005365542228229793,0.44013644516072425,judge_percent
C(dancer)[T.Tony Dovolani],-0.0018617918862932012,0.005890737126116224,0.7519614109649159,judge_percent
C(dancer)[T.Tristan MacManus],-0.007025586160770305,0.004954312282407824,0.15616888276157287,judge_percent
C(dancer)[T.Valentin Chmerkovskiy],0.0013378019590075659,0.004478434106075968,0.7651529931674519,judge_percent
C(dancer)[T.Witney Carson],-0.0010485612839372638,0.005196548306364024,0.8400884518409093,judge_percent
z_age,-0.0056326234451720926,0.0007731582798430896,3.2116034178731095e-13,judge_percent
week,0.0006987313586475511,0.0008718765443036357,0.4228938118973675,judge_percent
n_active,-0.015524209096881694,0.0009833910407519002,3.8595958448398007e-56,judge_percent
