param,coef,se,p,y
Intercept,-3.1513141088639576,0.7378102716118126,1.9444890935490475e-05,y_vote
C(industry)[T.Athlete],-0.14355144704539194,0.14563910874430258,0.3242972773943502,y_vote
C(industry)[T.Comedian],-0.28943179627984655,0.23196645717096973,0.21212949515616009,y_vote
C(industry)[T.Model],-0.1804443669720337,0.1358086834312519,0.18395821896867603,y_vote
C(industry)[T.Other],-0.013725603477358428,0.15364239980383299,0.9288158877775889,y_vote
C(industry)[T.Racing Driver],0.3794894141869728,0.36378015752426135,0.29686336956364034,y_vote
C(industry)[T.Singer/Rapper],-0.18077011243872798,0.11452290585383673,0.11445939630050865,y_vote
C(industry)[T.Social Media Personality],-0.2573598133279733,0.3725335860587588,0.48966827039477545,y_vote
C(industry)[T.TV Personality],0.1526106096516743,0.12053954035942557,0.20549065398566024,y_vote
C(home_region)[T.Canada],1.1522301370135415,0.5532870100254805,0.03729518387418568,y_vote
C(home_region)[T.England],0.4699236089722498,0.5279868753744581,0.3734503366849218,y_vote
C(home_region)[T.Other],0.4410600216579808,0.5137112394927457,0.3905746122363949,y_vote
C(home_region)[T.United States],0.7230590497505538,0.4911496838484393,0.14097320666524668,y_vote
C(dancer)[T.Allison Holker],-0.9860214361195648,0.3553528482909716,0.0055241230879273994,y_vote
C(dancer)[T.Anna Trebunskaya],-1.182177281409229,0.28714789926304024,3.838976483926298e-05,y_vote
C(dancer)[T.Artem Chigvintsev],-0.6017730786969245,0.3403265962154511,0.07702374658460465,y_vote
C(dancer)[T.Brandon Armstrong],-0.4533888645641569,0.46380984672792025,0.32830595288725406,y_vote
C(dancer)[T.Britt Stewart],0.1491592324274587,0.32506810471305697,0.646338058642995,y_vote
C(dancer)[T.Chelsie Hightower],-0.5450915533766093,0.3183599008477001,0.08686228772009602,y_vote
C(dancer)[T.Cheryl Burke],-0.32561106202304513,0.3076117864884195,0.28982164634773044,y_vote
C(dancer)[T.Daniella Karagach],0.5881228555449333,0.4910969162556423,0.23108452328283868,y_vote
C(dancer)[T.Derek Hough],0.6634743272037589,0.3281041403421141,0.04316131752612007,y_vote
C(dancer)[T.Edyta Sliwinska],-0.4483547693257616,0.34088649481966016,0.188422144019336,y_vote
C(dancer)[T.Emma Slater],-0.7316372798415689,0.3738304358172637,0.05033139409323862,y_vote
C(dancer)[T.Gleb Savchenko],-0.8107690206195021,0.33961359140663583,0.01697134418202708,y_vote
C(dancer)[T.Jenna Johnson],-0.24697668608269688,0.5570549091308794,0.6575042968743481,y_vote
C(dancer)[T.Jonathan Roberts],-0.5869973658612962,0.37908140599323165,0.12150842957815763,y_vote
C(dancer)[T.Julianne Hough],-0.5562652240847955,0.47069819908501165,0.23729004900409756,y_vote
C(dancer)[T.Karina Smirnoff],-0.858352350971509,0.2956064365272839,0.0036878157807692024,y_vote
C(dancer)[T.Keo Motsepe],-0.7735123045408249,0.32231083511727304,0.0163997554308544,y_vote
C(dancer)[T.Kym Johnson],-0.7478087280295953,0.3402855468288739,0.02797820796332879,y_vote
C(dancer)[T.Lacey Schwimmer],-0.6439679327683655,0.39402832076840505,0.10219190665051361,y_vote
C(dancer)[T.Lindsay Arnold],-0.05241876003128138,0.4249146750938895,0.9018196345127023,y_vote
C(dancer)[T.Louis van Amstel],-0.8139309047892344,0.3357649500901236,0.015345990191247218,y_vote
C(dancer)[T.Maksim Chmerkoskiy],-1.1455442944522618,0.35012547501560315,0.001068610793529055,y_vote
C(dancer)[T.Mark Ballas],-0.9375193223950931,0.31769664934581504,0.0031675818208916668,y_vote
C(dancer)[T.Other],-0.8500317092376974,0.3290620077149744,0.009788965298510907,y_vote
C(dancer)[T.Pasha Pashkov],-0.5534380173314807,0.37579924622614447,0.14083304674819255,y_vote
C(dancer)[T.Peta Murgatroyd],-0.4620459736044582,0.3379155394735502,0.17151825892118056,y_vote
C(dancer)[T.Rylee Arnold],1.2713910828921953,0.46030215051024,0.00574345109974129,y_vote
C(dancer)[T.Sasha Farber],-0.5645495979292021,0.38037340705236783,0.13775629709526407,y_vote
C(dancer)[T.Sharna Burgess],-0.7578340919848184,0.42992063028041666,0.07794599945466564,y_vote
C(dancer)[T.Tony Dovolani],-1.0688754308621533,0.29008072690518094,0.00022892576594119355,y_vote
C(dancer)[T.Tristan MacManus],-0.7088262708323542,0.3530700374292603,0.04468495199239132,y_vote
C(dancer)[T.Valentin Chmerkovskiy],-0.5846468133581716,0.3380166340149281,0.08369476151712645,y_vote
C(dancer)[T.Witney Carson],-0.2857132237893444,0.3814343928597177,0.45382739861800725,y_vote
z_age,-0.06667017308530991,0.045144803635707526,0.13972731393650847,y_vote
week,-0.09987016320957484,0.03638376844728487,0.006052752822937203,y_vote
n_active,-0.026692420803105996,0.03376906280211273,0.4292708012266304,y_vote
