season, method , bottom2_save, rank_tie_method, n_weeks, weekly_agreement_rate, elim_vote_share_mean, elim_vote_share_pctile
     1, percent, False       ,                ,       6,   1.0                , 0.1005230123798052  ,    0.2722222222222222
     1, percent, True        ,                ,       6,   1.0                , 0.1005230123798052  ,    0.2722222222222222
     1, rank   , False       , average        ,       6,   1.0                , 0.1005230123798052  ,    0.2722222222222222
     1, rank   , False       , min            ,       6,   1.0                , 0.1005230123798052  ,    0.2722222222222222
     1, rank   , True        , average        ,       6,   0.5                , 0.2005233764648437  ,    0.6666666666666666
     1, rank   , True        , min            ,       6,   0.5                , 0.2005233764648437  ,    0.6666666666666666
     2, percent, False       ,                ,       8,   1.0                , 0.08077474310994145 ,    0.17692743764172336
     2, percent, True        ,                ,       8,   1.0                , 0.08077474310994145 ,    0.17692743764172336
     2, rank   , False       , average        ,       8,   1.0                , 0.08077474310994145 ,    0.17692743764172336
     2, rank   , False       , min            ,       8,   1.0                , 0.08077474310994145 ,    0.17692743764172336
     2, rank   , True        , average        ,       8,   0.875              , 0.13292894033449035 ,    0.2840702947845805
     2, rank   , True        , min            ,       8,   0.875              , 0.13292894033449035 ,    0.2840702947845805
     3, percent, False       ,                ,      10,   0.8                , 0.01756330709904428 ,    0.11397546897546898
     3, percent, True        ,                ,      10,   0.5                , 0.04924739687703548 ,    0.17540584415584415
     3, rank   , False       , average        ,      10,   0.5                , 0.07024860512465236 ,    0.2203246753246753
     3, rank   , False       , min            ,      10,   0.5                , 0.08524096384644506 ,    0.25883838383838387
     3, rank   , True        , average        ,      10,   0.4                , 0.07527579118808107 ,    0.2636363636363636
     3, rank   , True        , min            ,      10,   0.4                , 0.07527579118808107 ,    0.2636363636363636
     4, percent, False       ,                ,      10,   1.0                , 0.023339670733548663,    0.14831800144300145
     4, percent, True        ,                ,      10,   0.4                , 0.0522011391818523  ,    0.22795093795093796
     4, rank   , False       , average        ,      10,   0.3                , 0.08672922352949775 ,    0.26866281866281866
     4, rank   , False       , min            ,      10,   0.3                , 0.08672922352949775 ,    0.26866281866281866
     4, rank   , True        , average        ,      10,   0.4                , 0.0522011391818523  ,    0.22795093795093796
     4, rank   , True        , min            ,      10,   0.4                , 0.06902134884148832 ,    0.2975649350649351
     5, percent, False       ,                ,      10,   0.8                , 0.024877928663045112,    0.15759830447330447
     5, percent, True        ,                ,      10,   0.2                , 0.06799792423844332 ,    0.23461760461760459
     5, rank   , False       , average        ,      10,   0.3                , 0.05034469360751761 ,    0.22234590806019375
     5, rank   , False       , min            ,      10,   0.3                , 0.05034469360751761 ,    0.22234590806019375
     5, rank   , True        , average        ,      10,   0.2                , 0.07544613629579537 ,    0.2701731601731602
     5, rank   , True        , min            ,      10,   0.2                , 0.07544613629579537 ,    0.2701731601731602
