season, week, method , bottom2_save, rank_tie_method, k_official, n_active_before, eliminated_pred
     1,    1, percent, False       ,                ,          0,               6, 
     1,    2, percent, False       ,                ,          1,               6, Trista Sutter
     1,    3, percent, False       ,                ,          1,               5, Evander Holyfield
     1,    4, percent, False       ,                ,          1,               4, Rachel Hunter
     1,    5, percent, False       ,                ,          0,               3, 
     1,    6, percent, False       ,                ,          0,               3, 
     1,    1, percent, True        ,                ,          0,               6, 
     1,    2, percent, True        ,                ,          1,               6, Trista Sutter
     1,    3, percent, True        ,                ,          1,               5, Evander Holyfield
     1,    4, percent, True        ,                ,          1,               4, Rachel Hunter
     1,    5, percent, True        ,                ,          0,               3, 
     1,    6, percent, True        ,                ,          0,               3, 
     1,    1, rank   , False       , min            ,          0,               6, 
     1,    2, rank   , False       , min            ,          1,               6, Trista Sutter
     1,    3, rank   , False       , min            ,          1,               5, Evander Holyfield
     1,    4, rank   , False       , min            ,          1,               4, Rachel Hunter
     1,    5, rank   , False       , min            ,          0,               3, 
     1,    6, rank   , False       , min            ,          0,               3, 
     1,    1, rank   , True        , min            ,          0,               6, 
     1,    2, rank   , True        , min            ,          1,               6, Kelly Monaco
     1,    3, rank   , True        , min            ,          1,               5, Trista Sutter
     1,    4, rank   , True        , min            ,          1,               4, Evander Holyfield
     1,    5, rank   , True        , min            ,          0,               3, 
     1,    6, rank   , True        , min            ,          0,               3, 
     1,    1, rank   , False       , average        ,          0,               6, 
     1,    2, rank   , False       , average        ,          1,               6, Trista Sutter
     1,    3, rank   , False       , average        ,          1,               5, Evander Holyfield
     1,    4, rank   , False       , average        ,          1,               4, Rachel Hunter
     1,    5, rank   , False       , average        ,          0,               3, 
     1,    6, rank   , False       , average        ,          0,               3, 
     1,    1, rank   , True        , average        ,          0,               6, 
     1,    2, rank   , True        , average        ,          1,               6, Kelly Monaco
     1,    3, rank   , True        , average        ,          1,               5, Trista Sutter
     1,    4, rank   , True        , average        ,          1,               4, Evander Holyfield
     1,    5, rank   , True        , average        ,          0,               3, 
     1,    6, rank   , True        , average        ,          0,               3, 
     2,    1, percent, False       ,                ,          1,              10, Kenny Mayne
     2,    2, percent, False       ,                ,          1,               9, Tatum O'Neal
     2,    3, percent, False       ,                ,          1,               8, Giselle Fernandez
     2,    4, percent, False       ,                ,          1,               7, Master P
     2,    5, percent, False       ,                ,          1,               6, Tia Carrere
     2,    6, percent, False       ,                ,          1,               5, George Hamilton
     2,    7, percent, False       ,                ,          1,               4, Lisa Rinna
     2,    8, percent, False       ,                ,          0,               3, 
     2,    1, percent, True        ,                ,          1,              10, Kenny Mayne
     2,    2, percent, True        ,                ,          1,               9, Tatum O'Neal
     2,    3, percent, True        ,                ,          1,               8, Giselle Fernandez
     2,    4, percent, True        ,                ,          1,               7, Master P
     2,    5, percent, True        ,                ,          1,               6, Tia Carrere
     2,    6, percent, True        ,                ,          1,               5, George Hamilton
     2,    7, percent, True        ,                ,          1,               4, Lisa Rinna
     2,    8, percent, True        ,                ,          0,               3, 
     2,    1, rank   , False       , min            ,          1,              10, Kenny Mayne
     2,    2, rank   , False       , min            ,          1,               9, Tatum O'Neal
     2,    3, rank   , False       , min            ,          1,               8, Giselle Fernandez
     2,    4, rank   , False       , min            ,          1,               7, Master P
     2,    5, rank   , False       , min            ,          1,               6, Tia Carrere
     2,    6, rank   , False       , min            ,          1,               5, George Hamilton
     2,    7, rank   , False       , min            ,          1,               4, Lisa Rinna
     2,    8, rank   , False       , min            ,          0,               3, 
     2,    1, rank   , True        , min            ,          1,              10, Kenny Mayne
     2,    2, rank   , True        , min            ,          1,               9, Tatum O'Neal
     2,    3, rank   , True        , min            ,          1,               8, Giselle Fernandez
     2,    4, rank   , True        , min            ,          1,               7, Master P
     2,    5, rank   , True        , min            ,          1,               6, Tia Carrere
     2,    6, rank   , True        , min            ,          1,               5, George Hamilton
     2,    7, rank   , True        , min            ,          1,               4, Jerry Rice
     2,    8, rank   , True        , min            ,          0,               3, 
     2,    1, rank   , False       , average        ,          1,              10, Kenny Mayne
     2,    2, rank   , False       , average        ,          1,               9, Tatum O'Neal
     2,    3, rank   , False       , average        ,          1,               8, Giselle Fernandez
     2,    4, rank   , False       , average        ,          1,               7, Master P
     2,    5, rank   , False       , average        ,          1,               6, Tia Carrere
     2,    6, rank   , False       , average        ,          1,               5, George Hamilton
     2,    7, rank   , False       , average        ,          1,               4, Lisa Rinna
     2,    8, rank   , False       , average        ,          0,               3, 
     2,    1, rank   , True        , average        ,          1,              10, Kenny Mayne
     2,    2, rank   , True        , average        ,          1,               9, Tatum O'Neal
     2,    3, rank   , True        , average        ,          1,               8, Giselle Fernandez
     2,    4, rank   , True        , average        ,          1,               7, Master P
     2,    5, rank   , True        , average        ,          1,               6, Tia Carrere
     2,    6, rank   , True        , average        ,          1,               5, George Hamilton
     2,    7, rank   , True        , average        ,          1,               4, Jerry Rice
     2,    8, rank   , True        , average        ,          0,               3, 
     3,    1, percent, False       ,                ,          1,              11, Tucker Carlson
     3,    2, percent, False       ,                ,          1,              10, Shanna Moakler
     3,    3, percent, False       ,                ,          1,               9, Harry Hamlin
     3,    4, percent, False       ,                ,          1,               8, Vivica A. Fox
     3,    5, percent, False       ,                ,          1,               7, Willa Ford
     3,    6, percent, False       ,                ,          0,               6, 
     3,    7, percent, False       ,                ,          1,               6, Sara Evans
     3,    8, percent, False       ,                ,          1,               5, Jerry Springer
     3,    9, percent, False       ,                ,          0,               4, 
     3,   10, percent, False       ,                ,          0,               4, 
     3,    1, percent, True        ,                ,          1,              11, Tucker Carlson
     3,    2, percent, True        ,                ,          1,              10, Harry Hamlin
     3,    3, percent, True        ,                ,          1,               9, Shanna Moakler
     3,    4, percent, True        ,                ,          1,               8, Vivica A. Fox
     3,    5, percent, True        ,                ,          1,               7, Jerry Springer
     3,    6, percent, True        ,                ,          0,               6, 
     3,    7, percent, True        ,                ,          1,               6, Sara Evans
     3,    8, percent, True        ,                ,          1,               5, Willa Ford
     3,    9, percent, True        ,                ,          0,               4, 
     3,   10, percent, True        ,                ,          0,               4, 
     3,    1, rank   , False       , min            ,          1,              11, Tucker Carlson
     3,    2, rank   , False       , min            ,          1,              10, Shanna Moakler
     3,    3, rank   , False       , min            ,          1,               9, Jerry Springer
     3,    4, rank   , False       , min            ,          1,               8, Harry Hamlin
     3,    5, rank   , False       , min            ,          1,               7, Vivica A. Fox
     3,    6, rank   , False       , min            ,          0,               6, 
     3,    7, rank   , False       , min            ,          1,               6, Monique Coleman
     3,    8, rank   , False       , min            ,          1,               5, Sara Evans
     3,    9, rank   , False       , min            ,          0,               4, 
     3,   10, rank   , False       , min            ,          0,               4, 
     3,    1, rank   , True        , min            ,          1,              11, Tucker Carlson
     3,    2, rank   , True        , min            ,          1,              10, Harry Hamlin
     3,    3, rank   , True        , min            ,          1,               9, Shanna Moakler
     3,    4, rank   , True        , min            ,          1,               8, Jerry Springer
     3,    5, rank   , True        , min            ,          1,               7, Vivica A. Fox
     3,    6, rank   , True        , min            ,          0,               6, 
     3,    7, rank   , True        , min            ,          1,               6, Sara Evans
     3,    8, rank   , True        , min            ,          1,               5, Willa Ford
     3,    9, rank   , True        , min            ,          0,               4, 
     3,   10, rank   , True        , min            ,          0,               4, 
     3,    1, rank   , False       , average        ,          1,              11, Tucker Carlson
     3,    2, rank   , False       , average        ,          1,              10, Harry Hamlin
     3,    3, rank   , False       , average        ,          1,               9, Shanna Moakler
     3,    4, rank   , False       , average        ,          1,               8, Vivica A. Fox
     3,    5, rank   , False       , average        ,          1,               7, Jerry Springer
     3,    6, rank   , False       , average        ,          0,               6, 
     3,    7, rank   , False       , average        ,          1,               6, Monique Coleman
     3,    8, rank   , False       , average        ,          1,               5, Sara Evans
     3,    9, rank   , False       , average        ,          0,               4, 
     3,   10, rank   , False       , average        ,          0,               4, 
     3,    1, rank   , True        , average        ,          1,              11, Tucker Carlson
     3,    2, rank   , True        , average        ,          1,              10, Harry Hamlin
     3,    3, rank   , True        , average        ,          1,               9, Shanna Moakler
     3,    4, rank   , True        , average        ,          1,               8, Jerry Springer
     3,    5, rank   , True        , average        ,          1,               7, Vivica A. Fox
     3,    6, rank   , True        , average        ,          0,               6, 
     3,    7, rank   , True        , average        ,          1,               6, Sara Evans
     3,    8, rank   , True        , average        ,          1,               5, Willa Ford
     3,    9, rank   , True        , average        ,          0,               4, 
     3,   10, rank   , True        , average        ,          0,               4, 
     4,    1, percent, False       ,                ,          0,              11, 
     4,    2, percent, False       ,                ,          1,              11, Paulina Porizkova
     4,    3, percent, False       ,                ,          1,              10, Shandi Finnessey
     4,    4, percent, False       ,                ,          1,               9, Leeza Gibbons
     4,    5, percent, False       ,                ,          1,               8, Clyde Drexler
     4,    6, percent, False       ,                ,          1,               7, Heather Mills
     4,    7, percent, False       ,                ,          1,               6, John Ratzenberger
     4,    8, percent, False       ,                ,          1,               5, Billy Ray Cyrus
     4,    9, percent, False       ,                ,          1,               4, Ian Ziering
     4,   10, percent, False       ,                ,          0,               3, 
     4,    1, percent, True        ,                ,          0,              11, 
     4,    2, percent, True        ,                ,          1,              11, Shandi Finnessey
     4,    3, percent, True        ,                ,          1,              10, Paulina Porizkova
     4,    4, percent, True        ,                ,          1,               9, Clyde Drexler
     4,    5, percent, True        ,                ,          1,               8, Leeza Gibbons
     4,    6, percent, True        ,                ,          1,               7, John Ratzenberger
     4,    7, percent, True        ,                ,          1,               6, Heather Mills
     4,    8, percent, True        ,                ,          1,               5, Billy Ray Cyrus
     4,    9, percent, True        ,                ,          1,               4, Ian Ziering
     4,   10, percent, True        ,                ,          0,               3, 
     4,    1, rank   , False       , min            ,          0,              11, 
     4,    2, rank   , False       , min            ,          1,              11, Shandi Finnessey
     4,    3, rank   , False       , min            ,          1,              10, Clyde Drexler
     4,    4, rank   , False       , min            ,          1,               9, Leeza Gibbons
     4,    5, rank   , False       , min            ,          1,               8, Paulina Porizkova
     4,    6, rank   , False       , min            ,          1,               7, John Ratzenberger
     4,    7, rank   , False       , min            ,          1,               6, Billy Ray Cyrus
     4,    8, rank   , False       , min            ,          1,               5, Ian Ziering
     4,    9, rank   , False       , min            ,          1,               4, Heather Mills
     4,   10, rank   , False       , min            ,          0,               3, 
     4,    1, rank   , True        , min            ,          0,              11, 
     4,    2, rank   , True        , min            ,          1,              11, Clyde Drexler
     4,    3, rank   , True        , min            ,          1,              10, Paulina Porizkova
     4,    4, rank   , True        , min            ,          1,               9, Shandi Finnessey
     4,    5, rank   , True        , min            ,          1,               8, Leeza Gibbons
     4,    6, rank   , True        , min            ,          1,               7, John Ratzenberger
     4,    7, rank   , True        , min            ,          1,               6, Heather Mills
     4,    8, rank   , True        , min            ,          1,               5, Billy Ray Cyrus
     4,    9, rank   , True        , min            ,          1,               4, Ian Ziering
     4,   10, rank   , True        , min            ,          0,               3, 
     4,    1, rank   , False       , average        ,          0,              11, 
     4,    2, rank   , False       , average        ,          1,              11, Shandi Finnessey
     4,    3, rank   , False       , average        ,          1,              10, Clyde Drexler
     4,    4, rank   , False       , average        ,          1,               9, Leeza Gibbons
     4,    5, rank   , False       , average        ,          1,               8, Paulina Porizkova
     4,    6, rank   , False       , average        ,          1,               7, John Ratzenberger
     4,    7, rank   , False       , average        ,          1,               6, Billy Ray Cyrus
     4,    8, rank   , False       , average        ,          1,               5, Ian Ziering
     4,    9, rank   , False       , average        ,          1,               4, Heather Mills
     4,   10, rank   , False       , average        ,          0,               3, 
     4,    1, rank   , True        , average        ,          0,              11, 
     4,    2, rank   , True        , average        ,          1,              11, Shandi Finnessey
     4,    3, rank   , True        , average        ,          1,              10, Paulina Porizkova
     4,    4, rank   , True        , average        ,          1,               9, Clyde Drexler
     4,    5, rank   , True        , average        ,          1,               8, Leeza Gibbons
     4,    6, rank   , True        , average        ,          1,               7, John Ratzenberger
     4,    7, rank   , True        , average        ,          1,               6, Heather Mills
     4,    8, rank   , True        , average        ,          1,               5, Billy Ray Cyrus
