season,celebrity_name,predicted_final_rank,predicted_final_score,predicted_alpha_i,predicted_judge_pct,predicted_fan_pct,actual_placement
1,Kelly Monaco               ,1,,,0.5045871559633027,0.0,1
1,John O'Hurley              ,2,,,0.4954128440366973,0.0,2
1,Evander Holyfield          ,3,,,0.0,0.0,5
1,Joey McIntyre              ,4,,,0.0,0.0,3
1,Rachel Hunter              ,5,,,0.0,0.0,4
1,Trista Sutter              ,6,,,0.0,0.0,6
2,Drew Lachey                ,1,,,0.34387291318097685,0.0,1
2,Stacy Keibler              ,2,,,0.33992071896021603,0.0,3
2,Jerry Rice                 ,3,,,0.31620636785880724,0.0,2
2,George Hamilton            ,4,,,0.0,0.0,5
2,Giselle Fernandez          ,5,,,0.0,0.0,8
2,Kenny Mayne                ,6,,,0.0,0.0,10
2,Lisa Rinna                 ,7,,,0.0,0.0,4
2,Master P                   ,8,,,0.0,0.0,7
2,Tatum O'Neal               ,9,,,0.0,0.0,9
2,Tia Carrere                ,10,,,0.0,0.0,6
3,Emmitt Smith               ,1,,,0.5,0.0,1
3,Mario Lopez                ,2,,,0.5,0.0,2
3,Harry Hamlin               ,3,,,0.0,0.0,9
3,Jerry Springer             ,4,,,0.0,0.0,5
3,Joey Lawrence              ,5,,,0.0,0.0,3
3,Monique Coleman            ,6,,,0.0,0.0,4
3,Sara Evans                 ,7,,,0.0,0.0,6
3,Shanna Moakler             ,8,,,0.0,0.0,10
3,Tucker Carlson             ,9,,,0.0,0.0,11
3,Vivica A. Fox              ,10,,,0.0,0.0,8
3,Willa Ford                 ,11,,,0.0,0.0,7
4,Apolo Anton Ohno           ,1,,,0.33976850076853665,0.0,1
4,Joey Fatone                ,2,,,0.3320460681848982,0.0,2
4,Laila Ali                  ,3,,,0.3281854310465651,0.0,3
4,Billy Ray Cyrus            ,4,,,0.0,0.0,5
4,Clyde Drexler              ,5,,,0.0,0.0,8
4,Heather Mills              ,6,,,0.0,0.0,7
4,Ian Ziering                ,7,,,0.0,0.0,4
4,John Ratzenberger          ,8,,,0.0,0.0,6
4,Leeza Gibbons              ,9,,,0.0,0.0,9
4,Paulina Porizkova          ,10,,,0.0,0.0,11
4,Shandi Finnessey           ,11,,,0.0,0.0,10
5,Mel B                      ,1,,,0.3571422268889026,0.0,2
5,Helio Castroneves          ,2,,,0.35294095402801606,0.0,1
5,Marie Osmond               ,3,,,0.2899168190830813,0.0,3
5,Albert Reed                ,4,,,0.0,0.0,11
5,Cameron Mathison           ,5,,,0.0,0.0,5
5,Floyd Mayweather Jr.       ,6,,,0.0,0.0,9
5,Jane Seymour               ,7,,,0.0,0.0,6
5,Jennie Garth               ,8,,,0.0,0.0,4
5,Josie Maran                ,9,,,0.0,0.0,12
5,Mark Cuban                 ,10,,,0.0,0.0,8
5,Sabrina Bryan              ,11,,,0.0,0.0,7
5,Wayne Newton               ,12,,,0.0,0.0,10
6,Kristi Yamaguchi           ,1,,,0.35502958579881655,0.0,1
6,Jason Taylor               ,2,,,0.33727810650887574,0.0,2
6,Cristian de la Fuente      ,3,,,0.3076923076923077,0.0,3
6,Adam Carolla               ,4,,,0.0,0.0,9
6,Mario                      ,5,,,0.0,0.0,5
6,Marissa Jaret Winokur      ,6,,,0.0,0.0,4
6,Marlee Matlin              ,7,,,0.0,0.0,7
6,Monica Seles               ,8,,,0.0,0.0,11
6,Penn Jillette              ,9,,,0.0,0.0,12
6,Priscilla Presley          ,10,,,0.0,0.0,8
6,Shannon Elizabeth          ,11,,,0.0,0.0,6
6,Steve Guttenberg           ,12,,,0.0,0.0,10
7,Brooke Burke               ,1,,,0.35294117647058826,0.0,1
7,Lance Bass                 ,2,,,0.3235294117647059,0.0,3
7,Warren Sapp                ,3,,,0.3235294117647059,0.0,2
7,Cloris Leachman            ,4,,,0.0,0.0,7
7,Cody Linley                ,5,,,0.0,0.0,4
7,Jeffrey Ross               ,6,,,0.0,0.0,13
7,Kim Kardashian             ,7,,,0.0,0.0,11
7,Maurice Greene             ,8,,,0.0,0.0,5
7,Misty May-Treanor          ,9,,,0.0,0.0,10
7,Rocco DiSpirito            ,10,,,0.0,0.0,9
7,Susan Lucci                ,11,,,0.0,0.0,6
7,Ted McGinley               ,12,,,0.0,0.0,12
7,Toni Braxton               ,13,,,0.0,0.0,8
8,Shawn Johnson              ,1,,,0.34285714285714286,0.0,1
8,Gilles Marini              ,2,,,0.3314285714285714,0.0,2
8,Melissa Rycroft            ,3,,,0.32571428571428573,0.0,3
8,Belinda Carlisle           ,4,,,0.0,0.0,13
