season,week,n_active,actual_elim_count,predicted_elim_count,actual_elims,predicted_elims,exact_match,jaccard,missing_vote_estimates
1,1,6,6,6,Evander Holyfield          ;Joey McIntyre              ;John O'Hurley              ;Kelly Monaco               ;Rachel Hunter              ;Trista Sutter              ,Evander Holyfield          ;Joey McIntyre              ;John O'Hurley              ;Kelly Monaco               ;Rachel Hunter              ;Trista Sutter              ,1,1.0,6
1,2,6,6,6,Evander Holyfield          ;Joey McIntyre              ;John O'Hurley              ;Kelly Monaco               ;Rachel Hunter              ;Trista Sutter              ,Evander Holyfield          ;Joey McIntyre              ;John O'Hurley              ;Kelly Monaco               ;Rachel Hunter              ;Trista Sutter              ,1,1.0,6
1,3,6,6,6,Evander Holyfield          ;Joey McIntyre              ;John O'Hurley              ;Kelly Monaco               ;Rachel Hunter              ;Trista Sutter              ,Evander Holyfield          ;Joey McIntyre              ;John O'Hurley              ;Kelly Monaco               ;Rachel Hunter              ;Trista Sutter              ,1,1.0,6
1,4,6,6,6,Evander Holyfield          ;Joey McIntyre              ;John O'Hurley              ;Kelly Monaco               ;Rachel Hunter              ;Trista Sutter              ,Evander Holyfield          ;Joey McIntyre              ;John O'Hurley              ;Kelly Monaco               ;Rachel Hunter              ;Trista Sutter              ,1,1.0,6
1,5,6,6,6,Evander Holyfield          ;Joey McIntyre              ;John O'Hurley              ;Kelly Monaco               ;Rachel Hunter              ;Trista Sutter              ,Evander Holyfield          ;Joey McIntyre              ;John O'Hurley              ;Kelly Monaco               ;Rachel Hunter              ;Trista Sutter              ,1,1.0,6
1,6,6,6,6,Evander Holyfield          ;Joey McIntyre              ;John O'Hurley              ;Kelly Monaco               ;Rachel Hunter              ;Trista Sutter              ,Evander Holyfield          ;Joey McIntyre              ;John O'Hurley              ;Kelly Monaco               ;Rachel Hunter              ;Trista Sutter              ,1,1.0,6
2,1,10,10,10,Drew Lachey                ;George Hamilton            ;Giselle Fernandez          ;Jerry Rice                 ;Kenny Mayne                ;Lisa Rinna                 ;Master P                   ;Stacy Keibler              ;Tatum O'Neal               ;Tia Carrere                ,Drew Lachey                ;George Hamilton            ;Giselle Fernandez          ;Jerry Rice                 ;Kenny Mayne                ;Lisa Rinna                 ;Master P                   ;Stacy Keibler              ;Tatum O'Neal               ;Tia Carrere                ,1,1.0,10
2,2,10,10,10,Drew Lachey                ;George Hamilton            ;Giselle Fernandez          ;Jerry Rice                 ;Kenny Mayne                ;Lisa Rinna                 ;Master P                   ;Stacy Keibler              ;Tatum O'Neal               ;Tia Carrere                ,Drew Lachey                ;George Hamilton            ;Giselle Fernandez          ;Jerry Rice                 ;Kenny Mayne                ;Lisa Rinna                 ;Master P                   ;Stacy Keibler              ;Tatum O'Neal               ;Tia Carrere                ,1,1.0,10
2,3,10,10,10,Drew Lachey                ;George Hamilton            ;Giselle Fernandez          ;Jerry Rice                 ;Kenny Mayne                ;Lisa Rinna                 ;Master P                   ;Stacy Keibler              ;Tatum O'Neal               ;Tia Carrere                ,Drew Lachey                ;George Hamilton            ;Giselle Fernandez          ;Jerry Rice                 ;Kenny Mayne                ;Lisa Rinna                 ;Master P                   ;Stacy Keibler              ;Tatum O'Neal               ;Tia Carrere                ,1,1.0,10
2,4,10,10,10,Drew Lachey                ;George Hamilton            ;Giselle Fernandez          ;Jerry Rice                 ;Kenny Mayne                ;Lisa Rinna                 ;Master P                   ;Stacy Keibler              ;Tatum O'Neal               ;Tia Carrere                ,Drew Lachey                ;George Hamilton            ;Giselle Fernandez          ;Jerry Rice                 ;Kenny Mayne                ;Lisa Rinna                 ;Master P                   ;Stacy Keibler              ;Tatum O'Neal               ;Tia Carrere                ,1,1.0,10
