season,week,celebrity_name,judge_total,n_active,vote_mean,vote_sd,unc_logit_proxy
17,2,"Nicole ""Snooki"" Polizzi",20.0,12,0.098570205271244,0.0308393891900777,0.34707888867041026
17,3,"Nicole ""Snooki"" Polizzi",25.0,11,0.0936498269438743,0.0260339844971895,0.3067168538038948
17,4,"Nicole ""Snooki"" Polizzi",24.0,10,0.075558878481388,0.0242055002599954,0.34653675465461486
17,1,"Nicole ""Snooki"" Polizzi",23.0,12,0.0825409218668937,0.0212734211236238,0.2809191334159534
17,5,"Nicole ""Snooki"" Polizzi",27.0,9,0.0468564704060554,0.0177928805351257,0.39839913586256265
17,6,"Nicole ""Snooki"" Polizzi",30.0,8,0.0226233918219804,0.007773155812174,0.35154240148944127
17,7,"Nicole ""Snooki"" Polizzi",27.0,8,0.0091254245489835,0.0024584294296801,0.27188545976360073
1,1,Evander Holyfield          ,18.0,6,,,
1,1,Joey McIntyre              ,20.0,6,,,
1,1,John O'Hurley              ,20.0,6,,,
1,1,Kelly Monaco               ,13.0,6,,,
1,1,Rachel Hunter              ,20.0,6,,,
1,1,Trista Sutter              ,18.0,6,,,
1,2,Evander Holyfield          ,14.0,6,,,
1,2,Joey McIntyre              ,21.0,6,,,
1,2,John O'Hurley              ,26.0,6,,,
1,2,Kelly Monaco               ,17.0,6,,,
1,2,Rachel Hunter              ,24.0,6,,,
1,2,Trista Sutter              ,19.0,6,,,
1,3,Evander Holyfield          ,13.0,5,,,
1,3,Joey McIntyre              ,22.0,5,,,
1,3,John O'Hurley              ,24.0,5,,,
1,3,Kelly Monaco               ,21.0,5,,,
1,3,Rachel Hunter              ,26.0,5,,,
1,4,Joey McIntyre              ,20.0,4,,,
1,4,John O'Hurley              ,21.0,4,,,
1,4,Kelly Monaco               ,26.0,4,,,
1,4,Rachel Hunter              ,25.0,4,,,
1,5,Joey McIntyre              ,22.5,3,,,
1,5,John O'Hurley              ,27.0,3,,,
1,5,Kelly Monaco               ,23.5,3,,,
1,6,John O'Hurley              ,27.0,2,,,
1,6,Kelly Monaco               ,27.5,2,,,
2,1,Drew Lachey                ,24.0,10,,,
2,1,George Hamilton            ,18.0,10,,,
2,1,Giselle Fernandez          ,23.0,10,,,
2,1,Jerry Rice                 ,21.0,10,,,
2,1,Kenny Mayne                ,13.0,10,,,
2,1,Lisa Rinna                 ,19.0,10,,,
2,1,Master P                   ,12.0,10,,,
2,1,Stacy Keibler              ,22.0,10,,,
2,1,Tatum O'Neal               ,23.0,10,,,
2,1,Tia Carrere                ,20.0,10,,,
2,2,Drew Lachey                ,27.0,9,,,
2,2,George Hamilton            ,22.0,9,,,
2,2,Giselle Fernandez          ,24.0,9,,,
2,2,Jerry Rice                 ,23.0,9,,,
2,2,Lisa Rinna                 ,20.0,9,,,
2,2,Master P                   ,16.0,9,,,
2,2,Stacy Keibler              ,29.0,9,,,
