season,era_label,week,celebrity_name,industry_cluster,celebrity_age_during_season,judge_score_raw,judge_share,judge_rank,is_elimination_week,is_finalist
1,Rank Era (S1-S2),1,John O'Hurley              ,Actor/Actress,50,20.0,0.1834862385321101,1.0,False,False
1,Rank Era (S1-S2),1,Rachel Hunter              ,Other,35,20.0,0.1834862385321101,1.0,False,False
1,Rank Era (S1-S2),1,Joey McIntyre              ,Musician,32,20.0,0.1834862385321101,1.0,False,True
1,Rank Era (S1-S2),1,Evander Holyfield          ,Athlete,42,18.0,0.1651376146788991,4.0,False,False
1,Rank Era (S1-S2),1,Trista Sutter              ,Reality Star,32,18.0,0.1651376146788991,4.0,False,False
1,Rank Era (S1-S2),1,Kelly Monaco               ,Actor/Actress,29,13.0,0.11926605504587157,6.0,False,False
1,Rank Era (S1-S2),2,John O'Hurley              ,Actor/Actress,50,26.0,0.21487603305785125,1.0,False,False
1,Rank Era (S1-S2),2,Rachel Hunter              ,Other,35,24.0,0.19834710743801653,2.0,False,False
1,Rank Era (S1-S2),2,Joey McIntyre              ,Musician,32,21.0,0.17355371900826447,3.0,False,True
1,Rank Era (S1-S2),2,Trista Sutter              ,Reality Star,32,19.0,0.15702479338842976,4.0,True,False
1,Rank Era (S1-S2),2,Kelly Monaco               ,Actor/Actress,29,17.0,0.14049586776859505,5.0,False,False
1,Rank Era (S1-S2),2,Evander Holyfield          ,Athlete,42,14.0,0.11570247933884298,6.0,False,False
1,Rank Era (S1-S2),3,Rachel Hunter              ,Other,35,26.0,0.24528301886792453,1.0,False,False
1,Rank Era (S1-S2),3,John O'Hurley              ,Actor/Actress,50,24.0,0.22641509433962265,2.0,False,False
1,Rank Era (S1-S2),3,Joey McIntyre              ,Musician,32,22.0,0.20754716981132076,3.0,False,True
1,Rank Era (S1-S2),3,Kelly Monaco               ,Actor/Actress,29,21.0,0.19811320754716982,4.0,False,False
1,Rank Era (S1-S2),3,Evander Holyfield          ,Athlete,42,13.0,0.12264150943396226,5.0,True,False
1,Rank Era (S1-S2),4,Kelly Monaco               ,Actor/Actress,29,26.0,0.2826086956521739,1.0,False,False
1,Rank Era (S1-S2),4,Rachel Hunter              ,Other,35,25.0,0.2717391304347826,2.0,True,False
1,Rank Era (S1-S2),4,John O'Hurley              ,Actor/Actress,50,21.0,0.22826086956521738,3.0,False,False
1,Rank Era (S1-S2),4,Joey McIntyre              ,Musician,32,20.0,0.21739130434782608,4.0,False,True
1,Rank Era (S1-S2),5,John O'Hurley              ,Actor/Actress,50,27.0,0.3698630136986301,1.0,False,False
1,Rank Era (S1-S2),5,Kelly Monaco               ,Actor/Actress,29,23.5,0.3219178082191781,2.0,False,False
1,Rank Era (S1-S2),5,Joey McIntyre              ,Musician,32,22.5,0.3082191780821918,3.0,False,True
1,Rank Era (S1-S2),6,Kelly Monaco               ,Actor/Actress,29,27.5,0.5045871559633027,1.0,True,False
1,Rank Era (S1-S2),6,John O'Hurley              ,Actor/Actress,50,27.0,0.4954128440366973,2.0,True,False
2,Rank Era (S1-S2),1,Drew Lachey                ,Musician,29,24.0,0.12307692307692308,1.0,False,False
2,Rank Era (S1-S2),1,Tatum O'Neal               ,Actor/Actress,42,23.0,0.11794871794871795,2.0,False,False
2,Rank Era (S1-S2),1,Giselle Fernandez          ,Host/Journalist,44,23.0,0.11794871794871795,2.0,False,False
2,Rank Era (S1-S2),1,Stacy Keibler              ,Athlete,26,22.0,0.11282051282051282,4.0,False,True
2,Rank Era (S1-S2),1,Jerry Rice                 ,Athlete,43,21.0,0.1076923076923077,5.0,False,False
2,Rank Era (S1-S2),1,Tia Carrere                ,Actor/Actress,39,20.0,0.10256410256410256,6.0,False,False
2,Rank Era (S1-S2),1,Lisa Rinna                 ,Actor/Actress,42,19.0,0.09743589743589744,7.0,False,False
2,Rank Era (S1-S2),1,George Hamilton            ,Actor/Actress,66,18.0,0.09230769230769231,8.0,False,False
2,Rank Era (S1-S2),1,Kenny Mayne                ,Other,46,13.0,0.06666666666666667,9.0,True,False
2,Rank Era (S1-S2),1,Master P                   ,Musician,35,12.0,0.06153846153846154,10.0,False,False
2,Rank Era (S1-S2),2,Stacy Keibler              ,Athlete,26,29.0,0.145,1.0,False,True
2,Rank Era (S1-S2),2,Drew Lachey                ,Musician,29,27.0,0.135,2.0,False,False
2,Rank Era (S1-S2),2,Giselle Fernandez          ,Host/Journalist,44,24.0,0.12,3.0,False,False
2,Rank Era (S1-S2),2,Jerry Rice                 ,Athlete,43,23.0,0.115,4.0,False,False
2,Rank Era (S1-S2),2,Tia Carrere                ,Actor/Actress,39,22.0,0.11,5.0,False,False
2,Rank Era (S1-S2),2,George Hamilton            ,Actor/Actress,66,22.0,0.11,5.0,False,False
2,Rank Era (S1-S2),2,Lisa Rinna                 ,Actor/Actress,42,20.0,0.1,7.0,False,False
2,Rank Era (S1-S2),2,Tatum O'Neal               ,Actor/Actress,42,17.0,0.085,8.0,True,False
2,Rank Era (S1-S2),2,Master P                   ,Musician,35,16.0,0.08,9.0,False,False
2,Rank Era (S1-S2),3,Stacy Keibler              ,Athlete,26,27.0,0.14835164835164835,1.0,False,True
2,Rank Era (S1-S2),3,Drew Lachey                ,Musician,29,27.0,0.14835164835164835,1.0,False,False
2,Rank Era (S1-S2),3,Tia Carrere                ,Actor/Actress,39,26.0,0.14285714285714285,3.0,False,False
2,Rank Era (S1-S2),3,Lisa Rinna                 ,Actor/Actress,42,25.0,0.13736263736263737,4.0,False,False
2,Rank Era (S1-S2),3,George Hamilton            ,Actor/Actress,66,22.0,0.12087912087912088,5.0,False,False
2,Rank Era (S1-S2),3,Giselle Fernandez          ,Host/Journalist,44,22.0,0.12087912087912088,5.0,True,False
2,Rank Era (S1-S2),3,Jerry Rice                 ,Athlete,43,19.0,0.1043956043956044,7.0,False,False
2,Rank Era (S1-S2),3,Master P                   ,Musician,35,14.0,0.07692307692307693,8.0,False,False
2,Rank Era (S1-S2),4,Drew Lachey                ,Musician,29,28.0,0.17721518987341772,1.0,False,False
2,Rank Era (S1-S2),4,Lisa Rinna                 ,Actor/Actress,42,26.0,0.16455696202531644,2.0,False,False
2,Rank Era (S1-S2),4,Stacy Keibler              ,Athlete,26,26.0,0.16455696202531644,2.0,False,True
2,Rank Era (S1-S2),4,Tia Carrere                ,Actor/Actress,39,25.0,0.15822784810126583,4.0,False,False
2,Rank Era (S1-S2),4,Jerry Rice                 ,Athlete,43,24.0,0.1518987341772152,5.0,False,False
2,Rank Era (S1-S2),4,George Hamilton            ,Actor/Actress,66,21.0,0.13291139240506328,6.0,False,False
2,Rank Era (S1-S2),4,Master P                   ,Musician,35,8.0,0.05063291139240506,7.0,True,False
2,Rank Era (S1-S2),5,Stacy Keibler              ,Athlete,26,30.0,0.1986754966887417,1.0,False,True
2,Rank Era (S1-S2),5,Drew Lachey                ,Musician,29,27.0,0.17880794701986755,2.0,False,False
2,Rank Era (S1-S2),5,Lisa Rinna                 ,Actor/Actress,42,25.0,0.16556291390728478,3.0,False,False
2,Rank Era (S1-S2),5,George Hamilton            ,Actor/Actress,66,24.0,0.15894039735099338,4.0,False,False
2,Rank Era (S1-S2),5,Jerry Rice                 ,Athlete,43,23.0,0.152317880794702,5.0,False,False
2,Rank Era (S1-S2),5,Tia Carrere                ,Actor/Actress,39,22.0,0.1456953642384106,6.0,True,False
2,Rank Era (S1-S2),6,Stacy Keibler              ,Athlete,26,30.0,0.22556390977443608,1.0,False,True
2,Rank Era (S1-S2),6,Drew Lachey                ,Musician,29,30.0,0.22556390977443608,1.0,False,False
2,Rank Era (S1-S2),6,Lisa Rinna                 ,Actor/Actress,42,27.0,0.20300751879699247,3.0,False,False
2,Rank Era (S1-S2),6,George Hamilton            ,Actor/Actress,66,23.0,0.17293233082706766,4.0,True,False
2,Rank Era (S1-S2),6,Jerry Rice                 ,Athlete,43,23.0,0.17293233082706766,4.0,False,False
2,Rank Era (S1-S2),7,Stacy Keibler              ,Athlete,26,27.5,0.2696078431372549,1.0,False,True
2,Rank Era (S1-S2),7,Drew Lachey                ,Musician,29,27.5,0.2696078431372549,1.0,False,False
2,Rank Era (S1-S2),7,Lisa Rinna                 ,Actor/Actress,42,26.5,0.25980392156862747,3.0,True,False
2,Rank Era (S1-S2),7,Jerry Rice                 ,Athlete,43,20.5,0.20098039215686275,4.0,False,False
2,Rank Era (S1-S2),8,Drew Lachey                ,Musician,29,28.9998,0.34387291318097685,1.0,True,False
2,Rank Era (S1-S2),8,Stacy Keibler              ,Athlete,26,28.6665,0.33992071896021603,2.0,False,True
2,Rank Era (S1-S2),8,Jerry Rice                 ,Athlete,43,26.666600000000003,0.31620636785880724,3.0,True,False
3,Percentage Era (S3-S27),1,Mario Lopez                ,Actor/Actress,32,26.0,0.12264150943396226,1.0,False,False
3,Percentage Era (S3-S27),1,Emmitt Smith               ,Athlete,37,24.0,0.11320754716981132,2.0,False,False
3,Percentage Era (S3-S27),1,Vivica A. Fox              ,Actor/Actress,42,22.0,0.10377358490566038,3.0,False,False
3,Percentage Era (S3-S27),1,Willa Ford                 ,Musician,25,22.0,0.10377358490566038,3.0,False,False
3,Percentage Era (S3-S27),1,Joey Lawrence              ,Actor/Actress,30,21.0,0.09905660377358491,5.0,False,True
3,Percentage Era (S3-S27),1,Monique Coleman            ,Actor/Actress,25,19.0,0.08962264150943396,6.0,False,False
3,Percentage Era (S3-S27),1,Shanna Moakler             ,Other,31,18.0,0.08490566037735849,7.0,False,False
3,Percentage Era (S3-S27),1,Harry Hamlin               ,Actor/Actress,54,17.0,0.08018867924528301,8.0,False,False
